InputVarType, OutputVarType, InputAlias, OutputAlias,TargetName, InputFileVarName, OutputFileVarName, InputBaseValue, OutputBaseValue, InputNewValue, OutputNewValue
I_C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2200, 258.44
I_C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.375000, 299.73
I_C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.375000, 258.44
I_C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.03, 299.73
I_C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.03, 258.44
I_C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.35, 299.73
I_C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.35, 258.44
I_C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2200, 299.73
I_C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2200, 258.44
I1C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 1.000000, 164.28
I1C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 1.000000, 143.39
I1C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.08, 164.28
I1C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.08, 143.39
I1C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.10, 164.28
I1C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.10, 143.39
I1C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3800.0, 164.28
I1C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3800.0, 143.39
I1C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 1.000000, 157.99
